source,target,total
Nute Gunray,Republic Captain,1
Nute Gunray,Rebel Pilot,1
Nute Gunray,Qui-Gon Jinn,2
Republic Captain,Rebel Pilot,3
Republic Captain,Qui-Gon Jinn,4
Rebel Pilot,Qui-Gon Jinn,3
Obi-Wan Kenobi,Yoda,39
Obi-Wan Kenobi,Qui-Gon Jinn,44
Yoda,Qui-Gon Jinn,6
Dofine,Nute Gunray,1
Nute Gunray,Battle Droid,5
Nute Gunray,Rune,16
Obi-Wan Kenobi,Battle Droid,37
Battle Droid,Qui-Gon Jinn,10
Obi-Wan Kenobi,Rune,1
Obi-Wan Kenobi,Nute Gunray,6
Rune,Qui-Gon Jinn,1
Nute Gunray,Tey How,2
Rune,Tey How,2
Chancellor Valorum,Obi-Wan Kenobi,3
Chancellor Valorum,Battle Droid,2
Chancellor Valorum,Qui-Gon Jinn,3
Tey How,Eirtae,1
Padme Amidala,Tey How,1
Yane,Tey How,1
Rabe,Tey How,1
Sache,Tey How,1
Padme Amidala,Eirtae,19
Yane,Eirtae,2
Rabe,Eirtae,10
Nute Gunray,Eirtae,1
Rune,Eirtae,1
Sache,Eirtae,3
Yane,Padme Amidala,4
Rabe,Padme Amidala,14
Nute Gunray,Padme Amidala,11
Rune,Padme Amidala,6
Padme Amidala,Sache,5
Yane,Rabe,4
Yane,Nute Gunray,2
Yane,Rune,2
Yane,Sache,4
Nute Gunray,Rabe,2
Rabe,Rune,2
Rabe,Sache,4
Nute Gunray,Sache,2
Rune,Sache,2
Captain Panaka,Eirtae,15
Sio Bibble,Eirtae,4
Palpatine,Eirtae,7
Sio Bibble,Captain Panaka,6
Padme Amidala,Captain Panaka,28
Sache,Captain Panaka,4
Palpatine,Captain Panaka,11
Sio Bibble,Padme Amidala,11
Sio Bibble,Sache,4
Sio Bibble,Palpatine,4
Padme Amidala,Palpatine,32
Sache,Palpatine,1
Obi-Wan Kenobi,Jar Jar Binks,28
Jar Jar Binks,Qui-Gon Jinn,39
Jar Jar Binks,Gungan Warrior,9
Jar Jar Binks,Captain Tarpals,2
Gungan Warrior,Captain Tarpals,1
Jar Jar Binks,Count Dooku,4
Jar Jar Binks,Boss Nass,4
Count Dooku,Boss Nass,1
Obi-Wan Kenobi,Count Dooku,20
Count Dooku,Qui-Gon Jinn,1
Obi-Wan Kenobi,Boss Nass,5
Qui-Gon Jinn,Boss Nass,4
Nute Gunray,Palpatine,10
Rune,Palpatine,5
Battle Droid,Captain Panaka,12
Battle Droid,Padme Amidala,22
Yane,Battle Droid,3
Battle Droid,Rabe,5
Sio Bibble,Battle Droid,4
Battle Droid,Rune,3
Battle Droid,Sache,3
Yane,Captain Panaka,3
Rabe,Captain Panaka,11
Nute Gunray,Captain Panaka,3
Rune,Captain Panaka,2
Sio Bibble,Yane,3
Sio Bibble,Rabe,4
Sio Bibble,Nute Gunray,3
Sio Bibble,Rune,2
Jar Jar Binks,Battle Droid,9
Obi-Wan Kenobi,Captain Panaka,19
Qui-Gon Jinn,Captain Panaka,17
Jar Jar Binks,Captain Panaka,14
Obi-Wan Kenobi,Padme Amidala,53
Obi-Wan Kenobi,Yane,2
Obi-Wan Kenobi,Rabe,8
Sio Bibble,Obi-Wan Kenobi,7
Obi-Wan Kenobi,Sache,2
Padme Amidala,Qui-Gon Jinn,36
Jar Jar Binks,Padme Amidala,44
Yane,Qui-Gon Jinn,2
Rabe,Qui-Gon Jinn,7
Sio Bibble,Qui-Gon Jinn,4
Sache,Qui-Gon Jinn,2
Jar Jar Binks,Yane,2
Jar Jar Binks,Rabe,6
Sio Bibble,Jar Jar Binks,5
Jar Jar Binks,Sache,2
Queen Jamillia,Battle Droid,1
Queen Jamillia,Palpatine,5
Queen Jamillia,Captain Panaka,4
Queen Jamillia,Obi-Wan Kenobi,6
Queen Jamillia,Eirtae,5
Queen Jamillia,Padme Amidala,7
Queen Jamillia,Qui-Gon Jinn,3
Queen Jamillia,Jar Jar Binks,4
Queen Jamillia,Sio Bibble,3
Battle Droid,Palpatine,11
Battle Droid,Eirtae,6
Obi-Wan Kenobi,Palpatine,42
Qui-Gon Jinn,Palpatine,9
Jar Jar Binks,Palpatine,14
Obi-Wan Kenobi,Eirtae,11
Qui-Gon Jinn,Eirtae,10
Jar Jar Binks,Eirtae,10
Republic Captain,Battle Droid,4
Republic Captain,Captain Panaka,4
Republic Captain,Eirtae,2
Obi-Wan Kenobi,Republic Captain,6
Republic Captain,Padme Amidala,4
Jar Jar Binks,Republic Captain,3
Yane,Republic Captain,1
Republic Captain,Rabe,2
Sio Bibble,Republic Captain,1
Republic Captain,Sache,1
Ric Olie,Rebel Pilot,3
Ric Olie,Qui-Gon Jinn,4
Ric Olie,Captain Panaka,5
Rebel Pilot,Captain Panaka,3
Jar Jar Binks,Ric Olie,1
Battle Droid,Ric Olie,3
Obi-Wan Kenobi,Ric Olie,5
Darth Vader,Darth Maul,2
Darth Vader,Palpatine,15
Darth Vader,Nute Gunray,4
Darth Vader,Rune,1
Darth Vader,Padme Amidala,6
Darth Maul,Palpatine,10
Nute Gunray,Darth Maul,5
Rune,Darth Maul,5
Padme Amidala,Darth Maul,3
R2-D2,Eirtae,7
R2-D2,Rabe,4
R2-D2,Captain Panaka,7
Obi-Wan Kenobi,R2-D2,50
R2-D2,Padme Amidala,50
R2-D2,Qui-Gon Jinn,25
Jar Jar Binks,R2-D2,26
Padme Amidala,Gardulla,1
Gardulla,Qui-Gon Jinn,1
Gardulla,Watto,1
Jar Jar Binks,Gardulla,1
R2-D2,Gardulla,1
